name,address,distance,distance_type,rating,capaciity,area,price
C?n h? cao c?p Vinhomes skylake,Hanoi,7.3,km,null,3 adult,74m˝,"1,231,200"
Wooden House 38 Hang Cot - 5' to HoanKiem Lake & Al Noor Mosque,"Hoan Kiem, Hanoi",1.3,km,9,3 adult,null,"1,350,000"
Anstay 3 Ng? Siàu Xinh Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,3 adult,null,"2,900,000"
Happy house vinhome ocean park,Hanoi,9.4,km,null,3 adult,null,"800,000"
Spacious apt with 2BR in Dcapital,"Cau Giay, Hanoi",6.4,km,null,3 adult,null,"1,151,280"
Dung's House,"Hoan Kiem, Hanoi",350,m,4.9,3 adult,null,"445,500"
S1.09 t?ng 12 phïng 15,Hanoi,10.2,km,8,3 adult,null,"918,000"
Pea?s House,Hanoi,10.3,km,null,3 adult,null,"729,000"
Vinhomes Sky Lake - C?n H? Kh†ch S?n,Hanoi,7.4,km,null,3 adult,null,"1,700,000"
Ocean homestay 2 phïng ng?,Hanoi,10.8,km,null,3 adult,null,"850,000"
Summer House 2 bedrooms Vinhomes Dcapital,"Cau Giay, Hanoi",6.4,km,8,3 adult,null,"1,160,000"
Homestay cao c?p Vinhomes Skylake,Hanoi,7.3,km,null,3 adult,70m˝,"1,800,000"
Anstay View Cìng Viàn SkyLake Ph?m Hóng M? ?çnh,Hanoi,7.4,km,null,3 adult,104m˝,"2,884,200"
NÖng H??ng Motel,"Thanh Xuan, Hanoi",7.3,km,7.6,3 adult,null,"750,000"
C?n H? Cao C?p Vinhomes Skylake,Hanoi,7.3,km,null,3 adult,74m˝,"1,296,000"
HANZ Memories Premiere Hotel,"Hoan Kiem, Hanoi",0.8,km,null,3 adult,null,"838,593"
YoLo Homestay Vinhomes Ocean Park - H? th?ng c?n h? ngh? d??ng,Hanoi,10.8,km,3,3 adult,60m˝,"765,000"
Luxury Apartment for rent Vinhomes D?Capitale 03,"Cau Giay, Hanoi",6.3,km,8,3 adult,null,"1,530,000"
HAPPY HOMESTAY ECOPARK H?ng Yàn,Hanoi,12.2,km,7,3 adult,null,"1,300,000"
Moon homestay,Hanoi,9.9,km,null,3 adult,null,"1,100,000"
C?n h? cao c?p VINHOMES SKYLAKE,Hanoi,7.3,km,null,3 adult,null,"1,615,000"
Vinhomes Times City - Park Hill Hanoi,Hanoi,4.2,km,null,3 adult,70m˝,"1,500,000"
Lilyhome - Vinhomes Skylake,Hanoi,7.4,km,10,3 adult,78m˝,"2,218,250"
C?n h? cao c?p Vinhomes skylake,Hanoi,7.3,km,null,3 adult,74m˝,"1,231,200"
Wooden House 38 Hang Cot - 5' to HoanKiem Lake & Al Noor Mosque,"Hoan Kiem, Hanoi",1.3,km,9,3 adult,null,"1,350,000"
Anstay 3 Ng? Siàu Xinh Metropolis HÖ N?i,"Ba Dinh, Hanoi",4,km,null,3 adult,null,"2,900,000"
Happy house vinhome ocean park,Hanoi,9.4,km,null,3 adult,null,"800,000"
