name,address,distance,distance_type,rating,capaciity,area,price
Hungsen Homestay,Hai Phong,40.2,km,null,2 adult,null,"382,500"
SH6.03 Vinhomes Marina studio 25 m2,Hai Phong,4,km,null,2 adult,null,"650,000"
Flamingos Cat Ba Resort Apartment,Hai Phong,1.4,km,null,2 adult,null,"3,950,000"
"AnE House SHP Plaza 12 L?ch Tray, H?i Phïng",Hai Phong,0.8,km,10,2 adult,71m˝,"1,350,000"
S?N H? Motel,Hai Phong,3,km,8.3,2 adult,null,"350,000"
Homestay Aesthetic,Hai Phong,3,km,null,2 adult,null,"1,700,000"
Ray Studio,Hai Phong,1.3,km,7,2 adult,null,"2,500,000"
Vu Gia Hotel,Hai Phong,3.3,km,1,2 adult,null,"400,000"
Riverside Apartment,Hai Phong,3.9,km,1,2 adult,40m˝,"800,000"
L? Th?y Motel,Hai Phong,40.1,km,9,2 adult,null,"650,000"
Vu Gia Khanh Apartment,Hai Phong,7.1,km,8.8,2 adult,45m˝,"710,000"
C?n h? The Mitato Residence,Hai Phong,3.6,km,null,2 adult,110m˝,"1,826,191"
An homestay - Stay with vietnamese local family,Hai Phong,40.8,km,null,2 adult,null,"583,200"
Holiday Hotel,Hai Phong,3.5,km,6.2,2 adult,null,"535,500"
L?i ?¢n nh?n nh?ng gç t?t ??p nh?t,Hai Phong,6.7,km,null,2 adult,null,"350,000"
LAD Homestay H?i Phïng - Chung c? ??ng Qu?c Bçnh,Hai Phong,2.2,km,8,2 adult,null,"800,000"
S20 Apartment,Hai Phong,3.4,km,9.2,2 adult,20m˝,"501,500"
Khìng t?n t?i,Hai Phong,1.9,km,null,2 adult,null,"1,000,000"
Flamingo Cat Ba Resort,Hai Phong,41.5,km,8.7,2 adult,null,"3,600,000"
Ventana house,Hai Phong,300,m,7.7,2 adult,32m˝,"700,000"
HAPPY HOMESTAY,Hai Phong,0.6,km,9.6,2 adult,20m˝,"650,000"
Hai Phong Tower,Hai Phong,450,m,8.7,2 adult,50m˝,"1,250,000"
Sunflower International Village,Hai Phong,2.7,km,9.7,2 adult,32m˝,"1,850,000"
Ray Garden,Hai Phong,2.2,km,4,2 adult,null,"3,600,000"
Dong Duong Hotel,Hai Phong,0.6,km,5.5,2 adult,null,"350,000"
Wonder Hotel,Hai Phong,3,km,7.8,2 adult,null,"336,960"
Chu?i c?n h? Merci Apartment & Homestay - Hoang Huy Grand Tower HP,Hai Phong,2.3,km,9,2 adult,70m˝,"800,000"
Tuong Vi Hotel,Hai Phong,3.3,km,null,2 adult,null,"1,450,000"
F & F Hotel,Hai Phong,4.7,km,8.2,2 adult,null,"600,000"
