name,address,distance,distance_type,rating,capaciity,area,price
Ngoc Ha Hotel 2,Hai Phong,3.9,km,6.8,1 adult,null,"300,000"
??c TuÉn 2 Motel,Hai Phong,2.9,km,9.4,1 adult,null,"297,000"
Lotus Hotel & Apartment,Hai Phong,2,km,8.3,1 adult,null,"1,050,000"
M?p Homestay,Hai Phong,2.5,km,10,1 adult,null,"800,000"
?çnh V? 3,Hai Phong,3.1,km,7.3,1 adult,null,"380,000"
Manoir Des Arts Hotel,Hai Phong,0.6,km,8.6,1 adult,null,"1,587,600"
The Flamboyant #StayWork Vinhomes Imperia,Hai Phong,2.2,km,9.3,1 adult,25m˝,"1,000,000"
Legend House,Hai Phong,4,km,10,1 adult,30m˝,"990,000"
The One Hotel,Hai Phong,3,km,8.8,1 adult,null,"650,000"
Three bedrooms Apt in SHP plaza 2106 - 12 Lach Tray street,Hai Phong,0.8,km,9,1 adult,null,"1,275,000"
Cat ba Paradise hotel,Hai Phong,40.5,km,7.4,1 adult,null,"1,410,750"
Hotel The Quin,Hai Phong,1.5,km,8,1 adult,null,"432,000"
Flamingo Lan Ha Bay Resort,Hai Phong,41.5,km,6.5,1 adult,null,"3,240,000"
Angel homestay,Hai Phong,2.5,km,9,1 adult,null,"900,000"
C?a Bi?n Homestay,Hai Phong,3.8,km,9.8,1 adult,null,"552,500"
Somerset Central TD Hai Phong City,Hai Phong,1.8,km,8.6,1 adult,45m˝,"2,079,000"
Royal Hotel,Hai Phong,4,km,7.8,1 adult,null,"495,000"
Punt Hotel,Hai Phong,2.1,km,8.7,1 adult,null,"645,000"
Cozi Hotel,Hai Phong,1.7,km,6.8,1 adult,null,"490,000"
Thien Anh Hotel,Hai Phong,250,m,8.4,1 adult,null,"500,000"
Indochine Lilyhome T4,Hai Phong,4.2,km,null,1 adult,60m˝,"1,200,000"
HAPPY GUEST HOUSE,Hai Phong,1.2,km,9.1,1 adult,null,"399,000"
PHAM. Hotel & Views,Hai Phong,30,m,8.9,1 adult,null,"595,000"
B?ng Homestay,Hai Phong,1.2,km,null,1 adult,null,"168,000"
Gallant Hotel 168,Hai Phong,3.6,km,8.5,1 adult,null,"580,000"
??I TH?NH PH?C,Hai Phong,5,km,8.1,1 adult,null,"540,000"
