address,distance,distance_type,rating,capaciity,area,price
dalat,600,km,88,2,100,2551500
dalat,1800,km,97,2,100,1154250
dalat,1400,km,88,2,400,2400000
dalat,800,km,80,2,25,440000
dalat,1500,km,96,2,300,4275000
dalat,300,m,86,2,101,2700000
dalat,1700,km,82,2,18,1300000
dalat,350,m,85,2,30,804000
dalat,2100,km,90,2,131,1154250
dalat,1700,km,100,2,120,1200000
dalat,1300,km,95,2,87,3400000
dalat,2300,km,77,2,99,1599000
dalat,250,m,82,2,30,600000
dalat,2300,km,88,2,350,3672000
dalat,1300,km,100,2,40,1200000
dalat,2000,km,86,2,130,972000
dalat,900,km,83,2,20,700000
dalat,900,km,84,2,14,270000
dalat,800,km,94,2,160,1750000
dalat,2300,km,87,2,50,1222222
dalat,1300,km,100,2,300,1570800
dalat,2300,km,91,2,52,990000
dalat,2100,km,90,2,132,1260000
dalat,2700,km,78,2,70,598500
dalat,1400,km,94,2,150,1831410
dalat,2100,km,90,2,130,1134000
dalat,2100,km,86,2,134,775000
dalat,2200,km,80,2,26,720000
dalat,1600,km,85,2,30,933333
dalat,2800,km,67,2,200,2500000
dalat,2200,km,100,2,25,1980000
dalat,2800,km,91,2,30,450000
dalat,300,m,79,2,40,1200000
dalat,2800,km,80,2,400,4499999
dalat,900,km,98,2,120,3325000
dalat,1300,km,83,2,20,321750
dalat,2200,km,80,2,250,1500000
dalat,2100,km,78,2,130,769500
dalat,2100,km,87,2,130,816000
dalat,1400,km,95,2,50,1215000
dalat,2000,km,96,2,35,500000
dalat,700,km,98,2,90,1296000
dalat,1700,km,99,2,70,2708640
dalat,1300,km,92,2,25,360000
dalat,2100,km,94,2,100,2641500
dalat,2000,km,90,2,130,630000
dalat,900,km,87,2,200,3328000
dalat,700,km,100,2,25,959000
dalat,1400,km,100,2,200,4879000
dalat,350,m,84,2,25,1053000
dalat,2900,km,84,2,80,1168410
dalat,1600,km,80,2,33,1403000
dalat,1100,km,86,2,13,780000
dalat,1500,km,89,2,240,2850000
dalat,900,km,80,2,79,750000
dalat,1400,km,100,2,210,971514
dalat,1300,km,10,2,150,385000
dalat,2200,km,87,2,100,1161945
dalat,3000,km,10,2,15,756000
dalat,600,km,90,2,28,1674000
dalat,7800,km,79,2,20,500000
dalat,150,m,83,2,17,939000
dalat,1700,km,100,2,200,675000
dalat,2200,km,78,2,50,682500
dalat,1400,km,95,3,50,1215000
dalat,900,km,83,3,25,1550000
dalat,6500,km,90,3,10,1216000
dalat,400,m,89,3,24,1070000
dalat,3200,km,100,3,250,5100000
dalat,3000,km,55,3,56,2800000
dalat,1500,km,93,3,250,3000000
dalat,300,m,100,3,100,4000000
dalat,10900,km,80,3,20,1610000
dalat,1600,km,93,3,350,2500000
dalat,3800,km,96,3,80,1614600
dalat,2100,km,97,3,32,800000
dalat,1000,km,50,3,100,1520000
dalat,1900,km,92,3,250,1100000
dalat,1300,km,80,3,300,1680000
dalat,1400,km,60,3,280,1960000
dalat,1900,km,76,3,40,610000
dalat,1600,km,90,3,100,1976652
dalat,1700,km,82,3,22,2000000
dalat,1100,km,88,3,100,1428000
dalat,350,m,85,3,30,1080000
dalat,1700,km,90,3,200,1008000
dalat,12200,km,10,3,300,4500000
dalat,1400,km,94,3,140,1440000
dalat,600,km,88,3,100,2551500
dalat,1100,km,80,3,160,2125000
dalat,1600,km,100,3,40,552500
dalat,700,km,94,3,70,3479900
dalat,1500,km,45,3,300,1800000
dalat,10800,km,83,3,40,904400
dalat,1300,km,100,3,40,1200000
dalat,1500,km,96,3,300,4275000
dalat,2200,km,100,3,100,1656000
dalat,1300,km,95,3,87,3400000
dalat,2100,km,100,3,200,1350000
dalat,250,m,82,3,30,600000
dalat,1100,km,100,3,220,1487500
dalat,2300,km,91,3,52,990000
dalat,1700,km,100,3,120,1200000
dalat,300,m,86,3,101,2700000
dalat,2300,km,77,3,99,1599000
dalat,3900,km,91,3,37,1653912
dalat,2700,km,78,3,70,630000
dalat,800,km,94,3,160,1750000
dalat,4700,km,89,3,22,1300000
dalat,2200,km,80,3,38,900000
dalat,2000,km,86,3,130,1093500
dalat,2300,km,88,3,350,3672000
dalat,2800,km,67,3,200,2500000
dalat,2100,km,90,3,132,1323000
dalat,1900,km,70,3,300,5260000
dalat,1300,km,100,3,300,1570800
dalat,1600,km,85,3,35,1066667
dalat,3000,km,10,3,15,810000
dalat,600,km,90,3,30,2016000
dalat,2100,km,90,3,130,1215000
dalat,2100,km,87,3,130,850000
dalat,2800,km,80,3,400,4499999
dalat,2100,km,86,3,134,806000
dalat,900,km,98,3,120,3325000
dalat,2100,km,78,3,130,786600
dalat,2100,km,94,3,100,2686500
dalat,2200,km,78,3,55,1228500
dalat,2000,km,96,3,35,600000
dalat,700,km,98,3,90,1377000
dalat,2000,km,90,3,130,655200
dalat,2200,km,80,3,250,1500000
dalat,700,km,100,3,30,1259000
dalat,1500,km,90,3,225,4500000
dalat,350,m,84,3,32,1395000
dalat,1400,km,94,3,150,2154600
dalat,1300,km,10,3,150,412500
dalat,1400,km,100,3,200,4879000
dalat,900,km,80,3,79,750000
dalat,1400,km,95,3,50,1215000
dalat,1500,km,89,3,240,2850000
dalat,1700,km,100,3,200,675000
dalat,600,km,90,3,30,2016000
dalat,1400,km,100,3,210,1052474
dalat,3000,km,10,3,15,810000
