address,distance,rating,capaciity,area,price
cantho,500,72,1,,320000
cantho,1400,73,1,,320000
cantho,1800,83,2,,320000
cantho,200,77,2,,320000
cantho,400,91,1,,315000
cantho,3000,83,1,,315000
cantho,500,95,1,,315000
cantho,400,91,2,,315000
cantho,3000,83,2,,315000
cantho,600,60,1,,313110
cantho,1900,60,1,,313110
cantho,600,60,2,,313110
cantho,1900,60,2,,313110
cantho,1700,45,1,,307800
cantho,200,77,1,,300000
cantho,400,93,1,,300000
cantho,400,72,2,,300000
cantho,400,93,2,,300000
cantho,2400,83,1,,290000
cantho,2400,83,2,,290000
cantho,700,79,1,,280000
cantho,2700,87,1,,280000
cantho,2000,88,1,,280000
cantho,700,79,2,,280000
cantho,2700,87,2,,280000
cantho,2000,88,2,,280000
cantho,1400,82,1,,279000
cantho,1400,82,2,,279000
cantho,1300,96,2,,273600
cantho,300,82,1,,270000
cantho,300,82,2,,270000
cantho,400,77,2,,270000
cantho,300,84,2,,270000
cantho,1400,90,1,,261990
cantho,1400,90,2,,261990
cantho,1400,59,1,,260000
cantho,2600,62,1,,260000
cantho,2600,62,2,,260000
cantho,1400,59,2,,260000
cantho,6000,72,1,,252000
cantho,6000,72,2,,252000
cantho,3000,78,1,,250000
cantho,1200,78,1,,250000
cantho,3000,78,2,,250000
cantho,3400,80,1,,243000
cantho,400,77,1,,243000
cantho,600,86,1,,243000
cantho,3400,80,2,,243000
cantho,600,86,2,,243000
cantho,300,87,1,,240000
cantho,300,87,2,,240000
cantho,2800,28,2,,240000
cantho,1300,96,1,,232560
cantho,200,81,2,,223250
cantho,1500,67,1,,220000
cantho,1500,67,2,,220000
cantho,2800,50,1,,216000
cantho,300,84,1,,216000
cantho,500,67,2,,216000
cantho,3700,89,1,,209000
cantho,400,69,1,,200000
cantho,1500,95,1,,200000
cantho,5500,51,1,,200000
cantho,5500,74,2,,200000
cantho,8700,91,1,,180000
cantho,600,79,1,,180000
cantho,8700,91,2,,180000
cantho,600,79,2,,180000
cantho,450,82,1,,177824
cantho,500,67,1,,117000
dalat,900,82,1,,20000000
dalat,900,39,2,,20000000
dalat,900,70,2,,20000000
dalat,900,25,1,,19000000
dalat,500,84,1,,10200000
dalat,500,84,2,,10200000
dalat,900,58,1,,10000000
dalat,900,37,2,,10000000
dalat,3000,100,1,,6500000
dalat,3000,100,2,,6500000
dalat,4100,66,1,,6000000
dalat,4100,66,2,,6000000
dalat,3200,100,1,250,5100000
dalat,1600,89,1,,5083150
dalat,1600,74,2,,5083150
dalat,1100,44,1,270,5000000
dalat,1500,85,1,,5000000
dalat,1100,35,2,270,5000000
dalat,1500,85,2,,5000000
dalat,1900,51,1,,4900000
dalat,1900,50,2,,4900000
dalat,1400,100,1,200,4879000
dalat,1400,100,2,200,4879000
dalat,1500,90,1,225,4500000
dalat,2100,56,1,,4500000
dalat,12200,10,1,300,4500000
dalat,1500,90,2,225,4500000
dalat,12200,10,2,300,4500000
dalat,2800,80,1,400,4499999
dalat,2800,80,2,400,4499999
dalat,2500,10,1,500,4495500
dalat,3000,74,1,,4300000
dalat,3000,74,2,,4300000
dalat,1500,96,1,300,4275000
dalat,1500,96,2,300,4275000
dalat,1500,88,1,300,4270000
dalat,1500,73,2,300,4270000
dalat,3000,80,1,,4200000
dalat,3000,80,1,,4200000
dalat,3000,80,2,,4200000
dalat,3000,80,2,,4200000
dalat,2600,65,1,25,4195800
dalat,2600,49,2,25,4195800
dalat,1400,10,1,,4050000
dalat,1400,10,2,,4050000
dalat,300,100,1,100,4000000
dalat,300,100,2,100,4000000
dalat,4000,26,1,30,3996000
dalat,4000,66,2,30,3996000
dalat,2900,86,1,30,3960000
dalat,2900,38,2,30,3960000
dalat,4200,38,1,,3900000
dalat,4200,64,2,,3900000
dalat,800,81,1,,3805380
dalat,800,81,2,,3805380
dalat,1900,75,1,500,3800000
dalat,1900,87,1,500,3800000
dalat,1900,62,2,500,3800000
dalat,2300,88,2,350,3672000
dalat,1600,79,1,300,3596400
dalat,1600,78,2,300,3596400
dalat,1300,29,1,,3500000
dalat,2000,44,1,25,3500000
dalat,1700,51,1,,3500000
dalat,1700,41,2,,3500000
dalat,1800,100,1,150,3385800
dalat,1800,100,2,150,3385800
dalat,900,87,1,200,3328000
dalat,900,87,2,200,3328000
dalat,2700,86,1,225,3325000
dalat,900,98,1,120,3325000
dalat,2700,35,2,225,3325000
dalat,900,98,2,120,3325000
dalat,6400,82,1,,3240000
dalat,6400,82,2,,3240000
dalat,1400,70,1,,3200000
dalat,1500,66,1,,3200000
dalat,4100,47,1,250,3200000
dalat,1400,70,2,,3200000
dalat,4100,68,2,250,3200000
dalat,1500,76,2,,3200000
dalat,4100,62,2,250,3200000
dalat,1500,85,1,72,3150000
dalat,1500,31,2,72,3150000
dalat,4700,91,1,400,3125500
dalat,4700,91,2,400,3125500
dalat,450,47,2,,3100000
dalat,1500,86,1,,3055000
dalat,1500,86,2,,3055000
dalat,1500,93,1,250,3000000
dalat,2900,54,1,,3000000
dalat,3500,80,1,,3000000
dalat,1500,93,2,250,3000000
dalat,2900,48,2,,3000000
dalat,700,94,2,,2878260
dalat,1500,89,1,240,2850000
dalat,1500,89,1,240,2850000
dalat,1500,89,2,240,2850000
dalat,1500,89,2,240,2850000
dalat,12600,38,1,120,2800000
dalat,1000,41,1,120,2800000
